SpecFile, BM1, BM2, BM3
./spec/controllers/alternate_values_controller_spec.rb, 24, 24, 24
./spec/controllers/api_controller_spec.rb, 23, 23, 22
./spec/controllers/api/images_controller_spec.rb, 20, 21, 20
./spec/controllers/api/v1/taxon_names_controller_spec.rb, 20, 20, 21
./spec/controllers/asserted_distributions_controller_spec.rb, 28, 28, 27
./spec/controllers/attributions_controller_spec.rb, 27, 25, 26
./spec/controllers/biocuration_classifications_controller_spec.rb, 24, 23, 24
./spec/controllers/character_states_controller_spec.rb, 23, 24, 23
./spec/controllers/citations_controller_spec.rb, 24, 25, 24
./spec/controllers/citation_topics_controller_spec.rb, 25, 25, 25
./spec/controllers/collecting_events_controller_spec.rb, 24, 23, 24
./spec/controllers/collection_object_observations_controller_spec.rb, 23, 23, 23
./spec/controllers/collection_objects_controller_spec.rb, 24, 25, 25
./spec/controllers/collection_profiles_controller_spec.rb, 25, 23, 23
./spec/controllers/common_names_controller_spec.rb, 23, 23, 24
./spec/controllers/confidences_controller_spec.rb, 23, 24, 24
./spec/controllers/container_items_controller_spec.rb, 24, 23, 24
./spec/controllers/containers_controller_spec.rb, 23, 22, 23
./spec/controllers/contents_controller_spec.rb, 24, 23, 24
./spec/controllers/controlled_vocabulary_terms_controller_spec.rb, 23, 23, 23
./spec/controllers/crash_test_controller_spec.rb, 23, 22, 23
./spec/controllers/dashboard_controller_spec.rb, 20, 20, 20
./spec/controllers/data_attributes_controller_spec.rb, 23, 24, 23
./spec/controllers/depictions_controller_spec.rb, 27, 27, 27
./spec/controllers/descriptors_controller_spec.rb, 23, 24, 23
./spec/controllers/documentation_controller_spec.rb, 24, 24, 24
./spec/controllers/documents_controller_spec.rb, 24, 23, 23
./spec/controllers/extracts_controller_spec.rb, 22, 23, 23
./spec/controllers/gene_attributes_controller_spec.rb, 24, 24, 24
./spec/controllers/geographic_areas_controller_spec.rb, 22, 23, 23
./spec/controllers/geographic_areas_geographic_items_controller_spec.rb, 24, 24, 24
./spec/controllers/geographic_area_types_controller_spec.rb, 23, 23, 23
./spec/controllers/geographic_items_controller_spec.rb, 22, 23, 22
./spec/controllers/georeferences_controller_spec.rb, 23, 23, 23
./spec/controllers/identifiers_controller_spec.rb, 24, 23, 23
./spec/controllers/images_controller_spec.rb, 32, 31, 32
./spec/controllers/labels_controller_spec.rb, 23, 23, 23
./spec/controllers/loan_items_controller_spec.rb, 23, 23, 24
./spec/controllers/loans_controller_spec.rb, 23, 23, 23
./spec/controllers/namespaces_controller_spec.rb, 23, 23, 23
./spec/controllers/notes_controller_spec.rb, 23, 24, 23
./spec/controllers/observation_matrices_controller_spec.rb, 23, 23, 23
./spec/controllers/observation_matrix_column_items_controller_spec.rb, 24, 24, 24
./spec/controllers/observation_matrix_columns_controller_spec.rb, 23, 23, 22
./spec/controllers/observation_matrix_row_items_controller_spec.rb, 24, 24, 24
./spec/controllers/observation_matrix_rows_controller_spec.rb, 23, 22, 23
./spec/controllers/observations_controller_spec.rb, 24, 24, 23
./spec/controllers/organizations_controller_spec.rb, 23, 23, 23
./spec/controllers/origin_relationships_controller_spec.rb, 24, 23, 24
./spec/controllers/otu_page_layouts_controller_spec.rb, 23, 23, 23
./spec/controllers/otu_page_layout_sections_controller_spec.rb, 23, 24, 23
./spec/controllers/otus_controller_spec.rb, 23, 23, 24
./spec/controllers/people_controller_spec.rb, 23, 23, 23
./spec/controllers/pinboard_items_controller_spec.rb, 23, 23, 22
./spec/controllers/project_members_controller_spec.rb, 24, 23, 24
./spec/controllers/projects_controller_spec.rb, 23, 24, 23
./spec/controllers/project_sources_controller_spec.rb, 20, 21, 20
./spec/controllers/protocol_relationships_controller_spec.rb, 24, 23, 24
./spec/controllers/protocols_controller_spec.rb, 23, 23, 23
./spec/controllers/public_contents_controller_spec.rb, 23, 24, 23
./spec/controllers/ranged_lot_categories_controller_spec.rb, 23, 23, 23
./spec/controllers/repositories_controller_spec.rb, 23, 23, 23
./spec/controllers/sequence_relationships_controller_spec.rb, 24, 23, 23
./spec/controllers/sequences_controller_spec.rb, 24, 23, 23
./spec/controllers/serial_chronologies_controller_spec.rb, 24, 23, 24
./spec/controllers/serials_controller_spec.rb, 23, 23, 23
./spec/controllers/sessions_controller_spec.rb, 22, 23, 22
./spec/controllers/sources_controller_spec.rb, 25, 24, 25
./spec/controllers/tagged_section_keywords_controller_spec.rb, 24, 23, 24
./spec/controllers/tags_controller_spec.rb, 24, 23, 23
./spec/controllers/tasks/collecting_events/parse/stepwise/lat_long_controller_spec.rb, 23, 23, 22
./spec/controllers/tasks/gis/asserted_distribution_controller_spec.rb, 23, 23, 23
./spec/controllers/tasks/gis/locality_controller_spec.rb, 23, 24, 23
./spec/controllers/tasks/gis/match_georeference_controller_spec.rb, 31, 31, 31
./spec/controllers/tasks/gis/otu_distribution_data_controller_spec.rb, 23, 22, 23
./spec/controllers/tasks/people/author_controller_spec.rb, 22, 23, 22
./spec/controllers/tasks/serials/similar_controller_spec.rb, 23, 22, 23
./spec/controllers/taxon_determinations_controller_spec.rb, 23, 24, 23
./spec/controllers/taxon_name_classifications_controller_spec.rb, 25, 25, 25
./spec/controllers/taxon_name_relationships_controller_spec.rb, 30, 30, 30
./spec/controllers/taxon_names_controller_spec.rb, 26, 25, 26
./spec/controllers/type_materials_controller_spec.rb, 33, 32, 32
./spec/controllers/users_controller_spec.rb, 25, 25, 26
./spec/features/administration_spec.rb, 25, 24, 24
./spec/features/alternate_values_spec.rb, 30, 29, 29
./spec/features/api_spec.rb, 28, 28, 27
./spec/features/api/v1/otus_spec.rb, 27, 26, 26
./spec/features/asserted_distributions_spec.rb, 56, 56, 55
./spec/features/authentication_spec.rb, 23, 22, 23
./spec/features/biocuration_classifications_spec.rb, 20, 21, 20
./spec/features/citations_spec.rb, 31, 32, 32
./spec/features/citation_topics_spec.rb, 20, 20, 20
./spec/features/collecting_events_spec.rb, 35, 34, 34
./spec/features/collection_object_observations_spec.rb, 43, 43, 44
./spec/features/collection_objects_spec.rb, 125, 126, 128
./spec/features/collection_profiles_spec.rb, 25, 25, 24
./spec/features/confidences_spec.rb, 30, 30, 30
./spec/features/container_items_spec.rb, 20, 21, 20
./spec/features/containers_spec.rb, 20, 20, 20
./spec/features/contents_spec.rb, 33, 32, 31
./spec/features/controlled_vocabulary_terms_spec.rb, 50, 51, 50
./spec/features/dashboard_spec.rb, 25, 24, 25
./spec/features/data_attributes_spec.rb, 30, 29, 30
./spec/features/exception_notification_spec.rb, 22, 21, 21
./spec/features/geographic_areas_geographic_items_spec.rb, 20, 20, 21
./spec/features/geographic_areas_spec.rb, 31, 32, 31
./spec/features/geographic_area_types_spec.rb, 21, 20, 20
./spec/features/geographic_items_spec.rb, 20, 21, 20
./spec/features/georeferences_spec.rb, 32, 33, 34
./spec/features/hub_spec.rb, 24, 25, 25
./spec/features/identifiers_spec.rb, 30, 29, 30
./spec/features/images_spec.rb, 46, 46, 46
./spec/features/loan_items_spec.rb, 21, 20, 20
./spec/features/loans_spec.rb, 32, 33, 32
./spec/features/namespaces_spec.rb, 29, 30, 29
./spec/features/notes_spec.rb, 30, 29, 30
./spec/features/otu_page_layout_sections_spec.rb, 20, 20, 20
./spec/features/otu_page_layouts_spec.rb, 25, 25, 24
./spec/features/otus_spec.rb, 65, 65, 64
./spec/features/people_spec.rb, 32, 31, 32
./spec/features/pinboards_spec.rb, 46, 46, 47
./spec/features/preparation_types_spec.rb, 29, 30, 29
./spec/features/project_members_spec.rb, 25, 25, 25
./spec/features/projects_spec.rb, 34, 34, 33
./spec/features/public_contents_spec.rb, 21, 20, 20
./spec/features/ranged_lot_categories_spec.rb, 32, 31, 31
./spec/features/repositories_spec.rb, 29, 29, 29
./spec/features/serial_chronologies_spec.rb, 20, 20, 21
./spec/features/serials_spec.rb, 30, 29, 30
./spec/features/sources_spec.rb, 81, 82, 81
./spec/features/tagged_section_keywords_spec.rb, 20, 21, 20
./spec/features/tags_spec.rb, 30, 30, 29
./spec/features/tasks/accessions/quick/ranged_lot_categories_spec.rb, 21, 20, 21
./spec/features/tasks/accessions/quick/verbatim_materials_spec.rb, 25, 26, 25
./spec/features/tasks/accessions/report/dwc_spec.rb, 43, 43, 43
./spec/features/tasks/citations/otus_spec.rb, 20, 21, 20
./spec/features/tasks/collecting_events/parse/stepwise/dates_spec.rb, 25, 25, 25
./spec/features/tasks/collecting_events/parse/stepwise/lat_long_spec.rb, 25, 25, 26
./spec/features/tasks/collection_objects/filter_spec.rb, 146, 147, 146
./spec/features/tasks/content/content_editor_spec.rb, 38, 37, 38
./spec/features/tasks/gis/locality/ce_display.html.erb_spec.rb, 24, 24, 24
./spec/features/tasks/gis/locality/gi_display.html.erb_spec.rb, 24, 24, 24
./spec/features/tasks/imports/dwca/psu_import_spec.rb, 45, 46, 46
./spec/features/tasks/otus/filter_spec.rb, 185, 185, 186
./spec/features/tasks/source_from_citation_spec.rb, 33, 33, 32
./spec/features/taxon_determinations_spec.rb, 51, 51, 51
./spec/features/taxon_name_classifications_spec.rb, 46, 47, 46
./spec/features/taxon_name_relationships_spec.rb, 39, 39, 38
./spec/features/taxon_names_spec.rb, 54, 54, 53
./spec/features/type_materials_spec.rb, 46, 46, 45
./spec/features/users_spec.rb, 38, 38, 38
./spec/helpers/citations_helper_spec.rb, 24, 23, 23
./spec/helpers/collecting_event_spec.rb, 23, 23, 23
./spec/helpers/collection_objects/biological_collection_objects_helper_spec.rb, 24, 23, 24
./spec/helpers/collection_objects_helper_spec.rb, 23, 23, 23
./spec/helpers/contents_helper_spec.rb, 23, 23, 24
./spec/helpers/controlled_vocabulary_terms_helper_spec.rb, 22, 23, 23
./spec/helpers/geographic_areas_helper_spec.rb, 23, 23, 23
./spec/helpers/loans_helper_spec.rb, 23, 23, 22
