PSUC	Species	OTU	Confirmed?	Collecting Event #	Date	Month	Day 	Year	Verbatim Location	Latitude 	Longitude 	Error	Method
35614	Hetaerina americana	Hetaerina americana		367	8.18.1941	8	18	1941	"Creek on Mary Shannon's place, Dallas, Texas"				
39024	Hetaerina americana	Hetaerina americana		372	Spring 1938	8			"S of San Antonio, Texas"				
37926	Hetaerina americana	Hetaerina americana		2570	7.30.1950	8	30	1950	"Fish Hatchery, Kerrville, Tex."	30.047433	-99.140319	10339 m	GEOLocate
38919	Hetaerina americana	Hetaerina americana		5158	8.5.1951	8	5	1951	"Real Co, TX"	29.728835	-99.761448	1419 m	GEOLocate
38866	Hetaerina probably americana			5302	6.16.1953	8	16	1953	"San Saba Co, Texas"	31.195723	-98.718098	2631 m 	GEOLocate
35628	Hetaerina americana	Hetaerina americana		5314	6.25.1953	8	25	1953	"Uvalde Co, TX"	29.209684	-99.786168	5034 m	GEOLocate
39770	Hetaerina americana	Hetaerina americana		58157	7.12.1958	8	12	1958	"highway 85, just S of Caracol & N of El Encino"	23.167282	-99.108196	2000 m	GEOLocate
35423	Hetaerina americana	Hetaerina americana		58160	7.12.1958	8	12	1958	"El Salto (NE-10 mi W of Nuevo Morelos, Tamps.) : various locations aroun falls"	22.533935	-99.377674	14731 m	GEOLocate
													
													
													
													
													
													
													
													
													
													
													
