taxonID,identifier,description
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177572","Taeniopteryx (Taeniopterygidae). Montgomery Co., Indiana, USA."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177573","Small stream stonefly habitat."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177574","Seep habitat."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177575","Larger stream habitat."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177576","Nymph of Pteronarcys."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177577","Holiday wishes, 2011."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177578","Stonefly biogeography."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177579","Dick Baumann and beating sheet."
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177580","Holiday wishes, 2012. Cultus verticalis, Little R., TN, May 2011"
1152749,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177571","Pinned adult stoneflies."
1153734,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177582","Prostoia completa (Walker). Photo by Bill Stark, Christmas 2010."
1153734,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177583","P. completa. WI, 3/2011"
1153743,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177584","Adults emerging on frosty morning, March 2007."
1154243,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177623","Dorsal view of P. geni male."
1154243,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177624","Lateral view, P. gevi male."
1154459,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177585","Male. IN, Milltown, Blue River, Feb. 2009"
1154459,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177586","Pair in copulo. IN, Milltown, Blue River, Feb. 2009"
1155319,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177587","IN at Milltown on Blue River, February 2009. Male, note spur on hind leg."
1155322,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177588","Nymph crawling over ice. Wisconsin River, WI, Mar. 2009"
1155322,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177589","Nymph and adult. Wisconsin R., WI, Mar. 2009"
1155412,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177590","Male O. glacialis. WI: Clark Co., Black River, 3/2011."
1155412,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177591","Female nymph of O. glacialis, WI: Lincoln Co., Wisc. R., 3/2009, on ice."
1155719,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177592","Sweltsa townesi, 6-21-09, Little Truckee River, B. Stark"
1155896,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177581","Nymph."
1156311,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177593","A. flavescens, IN, 4/2006."
1156313,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177594","Nymph"
1156426,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177595","Nymph"
1157150,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177596","Nymph from Kankakee River, NW Indiana, April 2006."
1157150,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177597","A. abnormis nymph. IN: Starke Co., Kankakee R., 4/2006."
1157163,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177598","Distribution."
1157163,"plecoptera.speciesfile.org/Common/basic/SendBlob.aspx?ImageID=177599","Maxent model of Illinois distribution."
