taxonID,acceptedNameUsageID,parentNameUsageID,scientificName,scientificNameAuthorship,taxonRank,taxonomicStatus,nomenclaturalStatus,namePublishedIn,taxonRemarks,modified
1152749,1152749,,"Plecoptera","","order","valid",,,"Some discrepency regarding the treatment of taxa proposed by Zwick with that presented in Species File is found. See Zwick's (2000) Figure 1. Note placement of Taeniopterygidae, Nemouromorpha, Leuctroidea.","2013-08-14T11:51:00"
1152750,1152750,1152749,"Thaumatophora","Riek, 1976","genus","valid",,"Riek. 1976. Fossil insects from the Middle Ecca (Lower Permian) of southern Africa. Paleontogia Africana (Paleont.Afr.) 19:145-148",,"2013-07-20T16:40:00"
1152751,1152751,1152750,"Thaumatophora pronotalis","Riek, 1976","species","valid",,"Riek. 1976. Fossil insects from the Middle Ecca (Lower Permian) of southern Africa. Paleontogia Africana (Paleont.Afr.) 19:145-148",,"2013-07-20T16:40:00"
1152752,1152752,1152749,"Marciperla","Lin, 1986","genus","valid",,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.","English p. 103","2013-07-20T16:40:00"
1152753,1152753,1152752,"Marciperla curta","Lin, 1986","species","valid",,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.",,"2013-07-20T16:40:00"
1152754,1152754,1152749,"Fluminiperla","Lin, 1980","genus","valid",,"Lin. 1980. In Unknown Author. Fossil insects. Fossils of mesozoic deposits of volcanic origin in Zhejiang and Anhui, Science Press, Peking 211-234","Ref nicht in Liste | Incertaesedis","2013-07-20T16:40:00"
1152755,1152755,1152754,"Fluminiperla hastis","Lin, 1980","species","valid",,"Lin. 1980. In Unknown Author. Fossil insects. Fossils of mesozoic deposits of volcanic origin in Zhejiang and Anhui, Science Press, Peking 211-234",,"2013-07-20T16:40:00"
1152756,1152756,1152749,"Idiastogyia","Lin, 1986","genus","valid",,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.","English p. 103","2013-07-20T16:40:00"
1152757,1152757,1152756,"Idiastogyia fatisca","Lin, 1986","species","valid",,"Lin. 1986. Hua nan zhong sheng dai zao qi di kun chong [Early Mesozoic fossil insects from south China]. Palaeontologia Sinica. New Series B (Palaeontol. Sin., N.S. B) New Series B 170(21):112 pp. + 20 pls.",,"2013-07-20T16:40:00"
1152758,1152758,1152749,"Perlapsocidae","Pinto & Pineiro, 2000","family","valid",,"Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)",,"2013-07-20T16:40:00"
1152759,1152759,1152758,"Perlapsocus","Pinto & Pineiro, 2000","genus","valid",,"Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)",,"2013-07-20T16:40:00"
1152760,1152760,1152759,"Perlapsocus formosoi","Pinto & Pineiro, 2000","species","valid",,"Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)",,"2013-07-20T16:40:00"
1152761,1152761,1152749,"Kaptsheranga","Sinitshenkova, 1985","genus","valid",,"Sinitshenkova. 1985. [Jurassic stoneflies of south Siberia and adjacent territories (Perlida = Plecoptera).]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 211:148-171",,"2013-07-20T16:40:00"
1152762,1152762,1152761,"Kaptsheranga porrecta","Sinitshenkova, 1985","species","valid",,"Sinitshenkova. 1985. [Jurassic stoneflies of south Siberia and adjacent territories (Perlida = Plecoptera).]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 211:148-171",,"2013-07-20T16:40:00"
1152763,1152749,,"Perlaria","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152764,1152749,,"Perlina","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152765,1152749,,"Neuroptera","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152766,1152749,,"Perlides","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152767,1152749,,"Perlarides","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152768,1152749,,"Perlidae","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152769,1152749,,"Perlida","","order","junior synonym",,,,"2013-07-20T16:40:00"
1152770,1152749,,"Perlites","","order","junior synonym",,,,"2013-07-20T16:40:00"
