taxonID,typeStatus,scientificName,sex,locality,verbatimLatitude,verbatimLongitude,institutionCode,catalogNumber,recordedBy,verbatimEventDate,typeDesignatedBy
1152758,"typeGenus","Perlapsocidae† Pinto & Pineiro, 2000",,,,,,,,,"Pinto & Pineiro. 2000. In Pinto, Pineiro & Verde. First Permian insects from Uruguay. Universidade Federal do Rio Grande do Sul Instituto de Geociencias Pesquisas 27(1)"
1152772,"typeGenus","Perlopsididae Martynov, 1940",,,,,,,,,"Martynov. 1940. Permskie iskopaemye nasekomye Chekardy [Permian fossil insects from Chekarda]. Trudy Paleontologicheskogo Instituta Akedemii Nauk SSSR (Tr.Pal.Inst.Ak. Nauk SSSR) 11:1-63"
1152778,"typeGenus","Gulouidae† Béthoux, Cui, Kondratieff, Stark & Ren, 2011",,,,,,,,,"Béthoux, Cui, Kondratieff, Stark & Ren. 2011. At last, a Pennsylvanian stem-stonefly (Plecoptera) discovered. BMC Evolutionary Biology 11(248):1-12"
1152785,"typeGenus","Austroperlidae Tillyard, 1921",,,,,,,,,"Tillyard. 1921. A new classification of the order Perlaria. Canadian Entomologist (Canad. Ent.) 53:35-43"
1152818,"typeGenus","Penturoperlidae Illies, 1960",,,,,,,,,"Illies. 1960. Penturoperlidae, eine neue Plecopterenfamilie. Zoologischer Anzeiger (Zool. Anz.) 164(1/2):26-41"
1152819,"typeGenus","Gripopterygidae Enderlein, 1909",,,,,,,,,"Enderlein. 1909. Klassifikation der Plecopteren sowie Diagnosen neurer Gattungen und Arten. Zoologischer Anzeiger (Zool. Anz.) 34:385-419"
1152840,"typeGenus","Dinotoperlinae McLellan, 1977",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
1152883,"typeGenus","Zelandoperlinae McLellan, 1977",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
1152898,"typeGenus","Megaleptoperlini McLellan, 1977",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
1152902,"typeGenus","Acroperlini McLellan, 1977",,,,,,,,,"McLellan. 1977. New alpine and southern Plecoptera from New Zealand and a new classification of the Gripopterygidae. New Zealand Journal of Zoology (N. Z. J. Zool.) 4(2):119-147"
