taxonID,vernacularName,language
1152749,"Stonefly","English"
1153437,"Forestfly stonefly","English"
1153439,"Forestflies","English"
1153441,"Wahkeena Forestfly","English"
1153443,"Meltwater Forestfly","English"
1153444,"Northern Forestfly","English"
1153445,"Sierra Forestfly","English"
1153470,"Nearctic Forestfly","English"
1153553,"Alaska Forestfly","English"
1153588,"Three-spined Forestfly","English"
1153617,"Spiny Forestfly","English"
1153651,"Arctic Forestfly","English"
1153715,"Cascades Forestfly","English"
1153716,"Whitetailed Forestfly","English"
1153718,"Notched Forestfly","English"
1153719,"Hooked Forestfly","English"
1153720,"Bent Forestfly","English"
1153721,"Truncate Forestfly","English"
1153723,"Spotted Forestfly","English"
1153725,"Boreal Forestfly","English"
1153727,"Least Forestfly","English"
1153729,"Delicate Forestfly","English"
1153730,"Maritime Forestfly","English"
1153731,"Brown-veined Forestfly","English"
1153732,"Holarctic Forestfly","English"
1153734,"Central Forestfly","English"
1153736,"Banded Forestfly","English"
1153737,"Swamp Forestfly","English"
1153738,"Longhorn Forestfly","English"
1153741,"Intrepid Forestfly","English"
1153743,"Valley Forestfly","English"
1153744,"Nevada Forestfly","English"
1153746,"Rocky Mountain Forestfly","English"
1153747,"Knobbed Forestfly","English"
1153749,"Vernal Forestfly","English"
1153751,"Carolina Forestfly","English"
1153752,"Broken Forestfly","English"
1153753,"Southeastern Forestfly","English"
1153754,"Powdermill Forestfly","English"
1153755,"Karst Forestfly","English"
1153756,"Cumberland Forestfly","English"
1153758,"Cataract Forestfly","English"
1153779,"Intermountain Forestfly","English"
1153781,"Smokies Forestfly","English"
1153782,"Common Forestfly","English"
1153783,"Columbian Forestfly","English"
1153784,"Cordilleran Forestfly","English"
1153785,"Frigid Forestfly","English"
1153786,"Glacier Forestfly","English"
1153787,"Kathadin Forestfly","English"
1153788,"Oregon Forestfly","English"
1153790,"Forestflies","English"
1153836,"Alabama Forestfly","English"
1153837,"Appalachian Forestfly","English"
1153838,"Texas Forestfly","English"
1153839,"Oriental Forestfly","English"
1153842,"Apache Forestfly","English"
1153844,"Rockies Forestfly","English"
1153856,"Eastern Forestfly","English"
1153876,"Mexican Forestfly","English"
1153880,"Tennessee Forestfly","English"
1153881,"Mogollon Forestfly","English"
1153884,"Little Black Forestfly","English"
1153895,"Puebla Forestfly","English"
1153918,"Warsaw Forestfly","English"
1153920,"Window Forestfly","English"
1153922,"Spiked Forestfly","English"
1153997,"Lovely Forestfly","English"
1154081,"Horned Forestfly","English"
1154082,"Forked Forestfly","English"
1154083,"Two-lobed Forestfly","English"
1154084,"California Forestfly","English"
1154086,"Colorado Forestfly","English"
1154087,"Bluntlobe Forestfly","English"
1154088,"Twisted Forestfly","English"
1154089,"Sagehen Forestfly","English"
1154090,"Coast Forestfly","English"
1154091,"Tiny Forestfly","English"
1154092,"Wenatchee Forestfly","English"
1154093,"Spring Mountains Forestfly","English"
1154419,"Capniid winter stoneflies","English"
1154419,"Snowflies","English"
1154438,"Bowed Snowfly","English"
1154439,"Spatulate Snowfly","English"
1154443,"Sevier Snowfly","English"
1154444,"Tennessee Snowfly","English"
1154445,"Shortwing Snowfly","English"
1154447,"Recurved Snowfly","English"
1154448,"Gulf Snowfly","English"
1154449,"Ouachita Snowfly","English"
1154450,"Black Warrior Snowfly","English"
1154451,"Eastern Snowfly","English"
1154452,"Sequatchie Snowfly","English"
1154453,"Mississippi Snowfly","English"
1154454,"Sano Snowfly","English"
1154455,"Tsalagi Snowfly","English"
1154457,"Virginiana Snowfly","English"
1154459,"Common Snowfly","English"
1154460,"Evansville Snowfly","English"
1154461,"Smokies Snowfly","English"
1154462,"Shield Snowfly","English"
1154463,"Cumberland Snowfly","English"
1154464,"Arkansas Snowfly","English"
1154465,"Menawa Snowfly","English"
1154467,"Moraine Snowfly","English"
1154468,"Pristine Snowfly","English"
1154470,"Muskogee Snowfly","English"
1154472,"Illinois Snowfly","English"
1154474,"Peculiar Snowfly","English"
1154475,"Three-knobbed Snowfly","English"
1154477,"Monongahela Snowfly","English"
1154478,"Two-knobbed Snowfly","English"
1154479,"Ozark Snowfly","English"
1154480,"St. Lawrence Snowfly","English"
1154482,"Osage Snowfly","English"
1154484,"Karst Snowfly","English"
1154485,"Stonyfork Snowfly","English"
1154486,"Perplexing Snowfly","English"
1154487,"Midwest Snowfly","English"
1154488,"Notched Snowfly","English"
1154489,"Blueridge Snowfly","English"
1154490,"Ash Snowfly","English"
1154492,"Aurora Snowfly","English"
1154493,"Indiana Snowfly","English"
1154494,"Brook Snowfly","English"
1154495,"Ohio Snowfly","English"
1154496,"Pygmy Snowfly","English"
1154498,"Three-lobed Snowfly","English"
1154500,"Boreal Snowfly","English"
1154503,"Alpine Snowfly","English"
1154504,"Spotted Snowfly","English"
1154505,"Glacier Snowfly","English"
1154506,"Moosehorn Snowfly","English"
1154507,"Sasquatch Snowfly","English"
1154508,"Ice Snowfly","English"
1154509,"Mission Snowfly","English"
1154511,"Eugene Snowfly","English"
1154519,"Mogollon Snowfly","English"
1154520,"Erect Snowfly","English"
1154522,"Humboldt Snowfly","English"
1154533,"Coffeepot Snowfly","English"
1154536,"Rasp Snowfly","English"
1154537,"Six-knobbed Snowfly","English"
1154539,"San Gabriel Snowfly","English"
1154542,"Idaho Snowfly","English"
1154548,"Plumas Snowfly","English"
1154549,"Esmeralda Snowfly","English"
1154550,"Mono Snowfly","English"
1154551,"Palomar Snowfly","English"
1154552,"Yuba Snowfly","English"
1154553,"Yosemite Snowfly","English"
1154555,"California Snowfly","English"
1154556,"Spring Snowfly","English"
1154557,"Snakehead Snowfly","English"
1154558,"Four-knobbed Snowfly","English"
1154559,"Royal Snowfly","English"
1154560,"Saratoga Snowfly","English"
1154561,"Umpqua Snowfly","English"
1154562,"Ventura Snowfly","English"
1154563,"Shasta Snowfly","English"
1154565,"Colorado Snowfly","English"
1154566,"Arroyo Snowfly","English"
1154567,"Thin Snowfly","English"
1154569,"Arapahoe Snowfly","English"
1154570,"Coyote Snowfly","English"
1154571,"Shortbeak Snowfly","English"
1154573,"Birdhead Snowfly","English"
1154574,"Sequoia Snowfly","English"
1154575,"Bernardino Snowfly","English"
1154576,"Swollen Snowfly","English"
1154577,"Utah Snowfly","English"
1154579,"Cheama Snowfly","English"
1154580,"Saddleback Snowfly","English"
1154581,"Uintah Snowfly","English"
1154583,"Cascades Snowfly","English"
1154584,"Slender Snowfly","English"
1154585,"Lake Snowfly","English"
